displacement[m],reference_ratio_y_axis_list,reference_ratio_z_axis_list
-2.50e-3,0.999999424323238,-0.999999424382913
-2.49e-3,0.999999361651092,-0.99999936171372
-2.48e-3,0.999999292422581,-0.999999292488254
-2.47e-3,0.999999215981937,-0.99999921605075
-2.46e-3,0.99999913161108,-0.99999913168313
-2.45e-3,0.99999903852405,-0.999999038599431
-2.44e-3,0.999998935860949,-0.999998935939754
-2.43e-3,0.999998822681401,-0.999998822763723
-2.42e-3,0.999998697957477,-0.999998698043406
-2.41e-3,0.999998560566026,-0.999998560655651
-2.40e-3,0.999998409280398,-0.999998409373806
-2.39e-3,0.999998242761489,-0.999998242858764
-2.38e-3,0.999998059548075,-0.999998059649298
-2.37e-3,0.999997858046377,-0.999997858151628
-2.36e-3,0.999997636518801,-0.999997636628154
-2.35e-3,0.999997393071788,-0.999997393185317
-2.34e-3,0.999997125642735,-0.999997125760508
-2.33e-3,0.999996831985888,-0.99999683210797
-2.32e-3,0.999996509657158,-0.999996509783608
-2.31e-3,0.999996155997783,-0.999996156128657
-2.30e-3,0.99999576811675,-0.999995768252098
-2.29e-3,0.9999953428719,-0.999995343011767
-2.28e-3,0.999994876849623,-0.999994876994048
-2.27e-3,0.999994366343056,-0.99999436649207
-2.26e-3,0.999993807328668,-0.9999938074823
-2.25e-3,0.999993195441166,-0.999993195599437
-2.24e-3,0.999992525946565,-0.999992526109488
-2.23e-3,0.999991793713329,-0.99999179388091
-2.22e-3,0.999990993181472,-0.999990993353713
-2.21e-3,0.999990118329484,-0.999990118506378
-2.20e-3,0.999989162638926,-0.999989162820454
-2.19e-3,0.999988119056569,-0.99998811924271
-2.18e-3,0.999986979953953,-0.999986980144676
-2.17e-3,0.999985737084174,-0.99998573727944
-2.16e-3,0.999984381535739,-0.999984381735501
-2.15e-3,0.999982903683338,-0.999982903887542
-2.14e-3,0.99998129313536,-0.999981293343943
-2.13e-3,0.999979538677927,-0.99997953889082
-2.12e-3,0.999977628215299,-0.999977628432421
-2.11e-3,0.999975548706407,-0.999975548927671
-2.10e-3,0.999973286097341,-0.999973286322651
-2.09e-3,0.999970825249539,-0.999970825478791
-2.08e-3,0.999968149863474,-0.999968150096557
-2.07e-3,0.999965242397594,-0.999965242634387
-2.06e-3,0.999962083982252,-0.999962084222627
-2.05e-3,0.9999586543284,-0.999958654572223
-2.04e-3,0.999954931630772,-0.999954931877901
-2.03e-3,0.999950892465269,-0.999950892715557
-2.02e-3,0.999946511680286,-0.999946511933576
-2.01e-3,0.999941762281674,-0.999941762537802
-2.00e-3,0.999936615311035,-0.999936615569834
-1.99e-3,0.999931039717077,-0.999931039978372
-1.98e-3,0.999925002219658,-0.99992500248327
-1.97e-3,0.999918467166236,-0.999918467431982
-1.96e-3,0.999911396380381,-0.99991139664807
-1.95e-3,0.999903749001984,-0.999903749271422
-1.94e-3,0.999895481318853,-0.999895481589842
-1.93e-3,0.999886546589327,-0.999886546861666
-1.92e-3,0.999876894855525,-0.999876895129007
-1.91e-3,0.999866472746884,-0.999866473021302
-1.90e-3,0.999855223273621,-0.999855223548765
-1.89e-3,0.999843085609712,-0.999843085885369
-1.88e-3,0.999829994865022,-0.999829995140981
-1.87e-3,0.999815881846217,-0.999815882122266
-1.86e-3,0.999800672806031,-0.999800673081959
-1.85e-3,0.999784289180541,-0.999784289456133
-1.84e-3,0.999766647314014,-0.999766647589059
-1.83e-3,0.999747658170986,-0.999747658445274
-1.82e-3,0.999727227035154,-0.999727227308478
-1.81e-3,0.999705253194702,-0.999705253466854
-1.80e-3,0.999681629613683,-0.999681629884459
-1.79e-3,0.999656242589082,-0.999656242858281
-1.78e-3,0.999628971393203,-0.999628971660629
-1.77e-3,0.999599687901005,-0.999599688166465
-1.76e-3,0.999568256202052,-0.999568256465358
-1.75e-3,0.999534532196734,-0.999534532457703
-1.74e-3,0.999498363176455,-0.999498363434908
-1.73e-3,0.999459587387459,-0.999459587643222
-1.72e-3,0.999418033578026,-0.999418033830933
-1.71e-3,0.999373520528781,-0.999373520778673
-1.70e-3,0.999325856565854,-0.999325856812577
-1.69e-3,0.99927483905668,-0.999274839300086
-1.68e-3,0.999220253888263,-0.999220254128212
-1.67e-3,0.999161874927723,-0.999161875164084
-1.66e-3,0.999099463465035,-0.999099463697684
-1.65e-3,0.999032767637833,-0.999032767866651
-1.64e-3,0.998961521838236,-0.998961522063112
-1.63e-3,0.998885446101697,-0.998885446322533
-1.62e-3,0.998804245477919,-0.998804245694621
-1.61e-3,0.998717609383876,-0.998717609596359
-1.60e-3,0.998625210939095,-0.99862521114728
-1.59e-3,0.998526706283381,-0.998526706487199
-1.58e-3,0.998421733877226,-0.998421734076617
-1.57e-3,0.998309913785183,-0.998309913980095
-1.56e-3,0.99819084694257,-0.998190847132957
-1.55e-3,0.998064114405932,-0.998064114591757
-1.54e-3,0.997929276587737,-0.997929276768971
-1.53e-3,0.997785872475893,-0.997785872652514
-1.52e-3,0.99763341883869,-0.997633419010683
-1.51e-3,0.997471409415897,-0.997471409583256
-1.50e-3,0.997299314096806,-0.997299314259532
-1.49e-3,0.997116578086091,-0.99711657824419
-1.48e-3,0.996922621058432,-0.996922621211919
-1.47e-3,0.996716836302969,-0.996716836451864
-1.46e-3,0.996498589858699,-0.996498590003029
-1.45e-3,0.996267219642064,-0.996267219781863
-1.44e-3,0.99602203456804,-0.996022034703347
-1.43e-3,0.995762313666141,-0.995762313797002
-1.42e-3,0.995487305192869,-0.995487305319334
-1.41e-3,0.995196225742201,-0.995196225864324
-1.40e-3,0.994888259355848,-0.994888259473687
-1.39e-3,0.994562556635098,-0.994562556748718
-1.38e-3,0.994218233856157,-0.994218233965624
-1.37e-3,0.993854372091009,-0.993854372196395
-1.36e-3,0.993470016335927,-0.993470016437309
-1.35e-3,0.993064174649861,-0.993064174747316
-1.34e-3,0.992635817305014,-0.992635817398623
-1.33e-3,0.992183875952057,-0.992183876041904
-1.32e-3,0.991707242802512,-0.991707242888681
-1.31e-3,0.991204769830912,-0.99120476991349
-1.30e-3,0.99067526799947,-0.990675268078548
-1.29e-3,0.990117506508101,-0.99011750658377
-1.28e-3,0.989530212072652,-0.989530212145004
-1.27e-3,0.98891206823437,-0.988912068303497
-1.26e-3,0.988261714703686,-0.988261714769681
-1.25e-3,0.98757774674144,-0.987577746804398
-1.24e-3,0.986858714580818,-0.986858714640835
-1.23e-3,0.986103122893272,-0.98610312295044
-1.22e-3,0.985309430301756,-0.985309430356167
-1.21e-3,0.984476048944753,-0.984476048996502
-1.20e-3,0.983601344094524,-0.983601344143704
-1.19e-3,0.982683633833068,-0.982683633879771
-1.18e-3,0.981721188789354,-0.981721188833672
-1.17e-3,0.980712231941381,-0.980712231983404
-1.16e-3,0.979654938486648,-0.979654938526463
-1.15e-3,0.978547435784603,-0.978547435822297
-1.14e-3,0.977387803374681,-0.97738780341034
-1.13e-3,0.976174073073467,-0.976174073107174
-1.12e-3,0.974904229154547,-0.974904229186384
-1.11e-3,0.973576208614549,-0.973576208644596
-1.10e-3,0.972187901528817,-0.972187901557152
-1.09e-3,0.970737151500139,-0.970737151526842
-1.08e-3,0.969221756203854,-0.969221756228998
-1.07e-3,0.967639468032532,-0.96763946805619
-1.06e-3,0.965987994843435,-0.965987994865679
-1.05e-3,0.964265000811751,-0.964265000832649
-1.04e-3,0.9624681073925,-0.962468107412117
-1.03e-3,0.960594894393883,-0.960594894412281
-1.02e-3,0.958642901164698,-0.958642901181941
-1.01e-3,0.956609627898264,-0.956609627914411
-1.00e-3,0.954492537055082,-0.954492537070189
-0.99e-3,0.95228905490634,-0.952289054920464
-0.98e-3,0.9499965732001,-0.949996573213294
-0.97e-3,0.9476124509518,-0.947612450964116
-0.96e-3,0.945134016360465,-0.94513401637195
-0.95e-3,0.942558568851777,-0.942558568862478
-0.94e-3,0.939883381248861,-0.939883381258823
-0.93e-3,0.93710570207143,-0.937105702080696
-0.92e-3,0.934222757963559,-0.934222757972171
-0.91e-3,0.931231756250116,-0.931231756258112
-0.90e-3,0.92812988762154,-0.928129887628959
-0.89e-3,0.924914328946334,-0.924914328953211
-0.88e-3,0.921582246210311,-0.921582246216679
-0.87e-3,0.918130797581275,-0.918130797587167
-0.86e-3,0.914557136597467,-0.914557136602914
-0.85e-3,0.910858415477769,-0.910858415482799
-0.84e-3,0.907031788551229,-0.907031788555868
-0.83e-3,0.903074415803161,-0.903074415807434
-0.82e-3,0.898983466534666,-0.8989834665386
-0.81e-3,0.894756123132002,-0.894756123135619
-0.80e-3,0.890389584941899,-0.890389584945221
-0.79e-3,0.885881072248478,-0.885881072251525
-0.78e-3,0.881227830347075,-0.881227830349868
-0.77e-3,0.876427133709859,-0.876427133712414
-0.76e-3,0.871476290237723,-0.871476290240056
-0.75e-3,0.866372645592606,-0.866372645594732
-0.74e-3,0.861113587603957,-0.861113587605894
-0.73e-3,0.855696550742708,-0.855696550744469
-0.72e-3,0.850119020655731,-0.850119020657328
-0.71e-3,0.84437853875341,-0.844378538754857
-0.70e-3,0.83847270684265,-0.838472706843959
-0.69e-3,0.832399191797178,-0.832399191798359
-0.68e-3,0.82615573025682,-0.826155730257883
-0.67e-3,0.819740133347026,-0.819740133347979
-0.66e-3,0.813150291409639,-0.813150291410491
-0.65e-3,0.80638417873565,-0.806384178736409
-0.64e-3,0.799439858290398,-0.799439858291073
-0.63e-3,0.792315486421426,-0.792315486422022
-0.62e-3,0.785009317539017,-0.785009317539542
-0.61e-3,0.777519708759205,-0.777519708759662
-0.60e-3,0.769845124498889,-0.769845124499287
-0.59e-3,0.761984141012561,-0.761984141012904
-0.58e-3,0.753935450859992,-0.753935450860283
-0.57e-3,0.745697867294141,-0.74569786729439
-0.56e-3,0.737270328558514,-0.73727032855872
-0.55e-3,0.728651902083104,-0.728651902083273
-0.54e-3,0.71984178856811,-0.719841788568245
-0.53e-3,0.710839325944558,-0.710839325944665
-0.52e-3,0.701643993201121,-0.7016439932012
-0.51e-3,0.692255414066393,-0.692255414066446
-0.50e-3,0.682673360536102,-0.682673360536132
-0.49e-3,0.672897756234817,-0.672897756234824
-0.48e-3,0.662928679601913,-0.6629286796019
-0.47e-3,0.652766366891802,-0.65276636689177
-0.46e-3,0.642411214978628,-0.64241121497858
-0.45e-3,0.631863783955961,-0.631863783955897
-0.44e-3,0.621124799522287,-0.621124799522215
-0.43e-3,0.610195155143497,-0.610195155143412
-0.42e-3,0.599075913983861,-0.599075913983767
-0.41e-3,0.587768310597489,-0.587768310597386
-0.40e-3,0.576273752372663,-0.57627375237255
-0.39e-3,0.564593820721834,-0.564593820721712
-0.38e-3,0.552730272010697,-0.552730272010567
-0.37e-3,0.540685038220186,-0.540685038220049
-0.36e-3,0.528460227335784,-0.528460227335643
-0.35e-3,0.516058123459165,-0.516058123459015
-0.34e-3,0.503481186637713,-0.503481186637551
-0.33e-3,0.490732052408042,-0.490732052407957
-0.32e-3,0.477813531051022,-0.477813531050928
-0.31e-3,0.464728606553995,-0.4647286065539
-0.30e-3,0.451480435280813,-0.451480435280711
-0.29e-3,0.438072344346593,-0.438072344346481
-0.28e-3,0.424507829697587,-0.424507829697477
-0.27e-3,0.410790553896242,-0.410790553896128
-0.26e-3,0.396924343612315,-0.396924343612201
-0.25e-3,0.382913186821886,-0.382913186821771
-0.24e-3,0.368761229716513,-0.368761229716397
-0.23e-3,0.354472773325754,-0.354472773325634
-0.22e-3,0.340052269856847,-0.340052269856728
-0.21e-3,0.32550431875616,-0.325504318756043
-0.20e-3,0.310833662497666,-0.310833662497549
-0.19e-3,0.296045182104429,-0.296045182104309
-0.18e-3,0.281143892409792,-0.281143892409673
-0.17e-3,0.266134937065678,-0.266134937065562
-0.16e-3,0.251023583305967,-0.251023583305855
-0.15e-3,0.235815216473652,-0.235815216473584
-0.14e-3,0.220515334321371,-0.220515334321314
-0.13e-3,0.205129541094462,-0.205129541094415
-0.12e-3,0.189663541408128,-0.189663541408087
-0.11e-3,0.174123133928957,-0.174123133928918
-0.10e-3,0.158514204872774,-0.158514204872738
-0.09e-3,0.142842721330855,-0.142842721330823
-0.08e-3,0.127114724437077,-0.127114724437041
-0.07e-3,0.111336322388982,-0.111336322388974
-0.06e-3,0.0955136833364199,-0.0955136833364105
-0.05e-3,0.0796530281510104,-0.0796530281509959
-0.04e-3,0.0637606230912406,-0.0637606230912211
-0.03e-3,0.0478427723770687,-0.0478427723770682
-0.02e-3,0.031905810689057,-0.0319058106890649
-0.01e-3,0.0159560956064981,-0.0159560956065014
0.00e-3,4.27419867012781e-17,1.5586491252207e-18
0.01e-3,-0.0159560956065043,0.0159560956065014
0.02e-3,-0.0319058106890746,0.0319058106890649
0.03e-3,-0.0478427723770755,0.0478427723770684
0.04e-3,-0.0637606230912185,0.0637606230912213
0.05e-3,-0.0796530281509877,0.0796530281509958
0.06e-3,-0.0955136833364034,0.0955136833364103
0.07e-3,-0.111336322388965,0.111336322388973
0.08e-3,-0.127114724437025,0.127114724437041
0.09e-3,-0.142842721330799,0.142842721330823
0.10e-3,-0.158514204872711,0.158514204872739
0.11e-3,-0.174123133928888,0.174123133928918
0.12e-3,-0.189663541408051,0.189663541408087
0.13e-3,-0.205129541094373,0.205129541094416
0.14e-3,-0.220515334321268,0.220515334321315
0.15e-3,-0.235815216473535,0.235815216473585
0.16e-3,-0.251023583305782,0.251023583305858
0.17e-3,-0.266134937065467,0.266134937065563
0.18e-3,-0.281143892409566,0.281143892409672
0.19e-3,-0.296045182104193,0.296045182104309
0.20e-3,-0.310833662497431,0.310833662497549
0.21e-3,-0.325504318755923,0.325504318756041
0.22e-3,-0.340052269856603,0.340052269856726
0.23e-3,-0.354472773325506,0.354472773325635
0.24e-3,-0.368761229716263,0.368761229716397
0.25e-3,-0.382913186821631,0.382913186821771
0.26e-3,-0.396924343612057,0.396924343612199
0.27e-3,-0.41079055389598,0.410790553896127
0.28e-3,-0.424507829697323,0.424507829697477
0.29e-3,-0.438072344346325,0.438072344346481
0.30e-3,-0.451480435280548,0.45148043528071
0.31e-3,-0.464728606553732,0.464728606553902
0.32e-3,-0.477813531050754,0.477813531050928
0.33e-3,-0.490732052407774,0.490732052407956
0.34e-3,-0.503481186637325,0.50348118663755
0.35e-3,-0.516058123458777,0.516058123459013
0.36e-3,-0.528460227335404,0.52846022733564
0.37e-3,-0.540685038219801,0.540685038220051
0.38e-3,-0.552730272010314,0.55273027201057
0.39e-3,-0.564593820721453,0.564593820721714
0.40e-3,-0.576273752372277,0.576273752372551
0.41e-3,-0.587768310597102,0.587768310597387
0.42e-3,-0.599075913983473,0.599075913983766
0.43e-3,-0.610195155143111,0.610195155143413
0.44e-3,-0.621124799521897,0.621124799522212
0.45e-3,-0.631863783955566,0.631863783955898
0.46e-3,-0.642411214978235,0.642411214978579
0.47e-3,-0.65276636689141,0.652766366891771
0.48e-3,-0.662928679601519,0.6629286796019
0.49e-3,-0.67289775623442,0.672897756234823
0.50e-3,-0.682673360535701,0.68267336053613
0.51e-3,-0.692255414065988,0.692255414066445
0.52e-3,-0.701643993200711,0.701643993201199
0.53e-3,-0.710839325944149,0.710839325944666
0.54e-3,-0.719841788567696,0.719841788568248
0.55e-3,-0.728651902082687,0.728651902083274
0.56e-3,-0.737270328558094,0.737270328558719
0.57e-3,-0.745697867293716,0.745697867294387
0.58e-3,-0.753935450859562,0.753935450860286
0.59e-3,-0.76198414101213,0.761984141012904
0.60e-3,-0.769845124498456,0.769845124499286
0.61e-3,-0.77751970875877,0.777519708759664
0.62e-3,-0.785009317538578,0.785009317539542
0.63e-3,-0.792315486420983,0.792315486422021
0.64e-3,-0.799439858289956,0.799439858291071
0.65e-3,-0.806384178735207,0.806384178736408
0.66e-3,-0.813150291409194,0.81315029141049
0.67e-3,-0.819740133346582,0.819740133347978
0.68e-3,-0.826155730256376,0.826155730257881
0.69e-3,-0.832399191796732,0.832399191798357
0.70e-3,-0.838472706842202,0.838472706843958
0.71e-3,-0.844378538752961,0.844378538754858
0.72e-3,-0.850119020655278,0.850119020657329
0.73e-3,-0.855696550742256,0.855696550744471
0.74e-3,-0.861113587603504,0.861113587605895
0.75e-3,-0.866372645592151,0.866372645594733
0.76e-3,-0.871476290237268,0.871476290240054
0.77e-3,-0.876427133709406,0.876427133712413
0.78e-3,-0.881227830346618,0.881227830349868
0.79e-3,-0.885881072248018,0.885881072251525
0.80e-3,-0.890389584941437,0.89038958494522
0.81e-3,-0.894756123131541,0.894756123135619
0.82e-3,-0.898983466534202,0.8989834665386
0.83e-3,-0.903074415802696,0.903074415807435
0.84e-3,-0.907031788550761,0.907031788555864
0.85e-3,-0.910858415477301,0.910858415482794
0.86e-3,-0.914557136596998,0.914557136602909
0.87e-3,-0.918130797580803,0.918130797587163
0.88e-3,-0.921582246209837,0.921582246216676
0.89e-3,-0.924914328945859,0.924914328953206
0.90e-3,-0.928129887621065,0.928129887628954
0.91e-3,-0.931231756249642,0.931231756258108
